siteid,spid,x,y,occ,group,bc01,bc04,bc05,bc06,bc12,bc15,bc17,bc20,bc31,bc33,slope,topo,tri
10009,tgb,349275.8,8123752,0,plant,21.6,0.91,29.9,12.2,1478,98,70,19.3,54,0.17,10.90166,70,437.2322
10099,tgb,346214.9,8059180,0,plant,17.9,1.02,26.9,8.900001,2670,70,228,18.1,9,0.83,19.36511,0,871.6656
10100,tgb,367469.2,8055646,0,plant,21.4,0.95,29.7,12.1,3101,72,264,18,13,0.75,12.35445,48,291.8664
10101,tgb,376366.2,8046474,0,plant,22.2,0.94,30.2,13,3276,76,275,17.9,12,0.77,33.70975,18,496.1209
10102,tgb,342809,8042553,0,plant,18.8,1.03,27.9,9.2,1836,78,132,18.8,24,0.54,30.0091,55,438.3184
10103,tgb,422636.2,7971103,0,plant,21.1,0.98,28.9,12.5,2625,88,178,18.3,22,0.58,42.97336,0,1837.288
10104,tgb,368154.6,7954206,0,plant,20.9,1.07,30,10.7,1274,93,82,19.5,45,0.25,6.35737,20,139.5027
10105,tgb,332682.7,8202937,0,plant,23.7,0.8,30.3,16.4,3183,83,211,18.1,28,0.46,32.22807,28,960.1
10106,tgb,307912.7,8182447,0,plant,17.6,0.97,26.2,9.5,2641,79,204,18.2,18,0.66,18.24762,47,436.4287
10107,tgb,319917.9,8239719,0,plant,23.4,0.82,30,16,2236,94,110,18.7,48,0.22,1.045234,0,236.9177
10108,tgb,325387.7,8225012,0,plant,21.2,0.88,28.3,13.8,2601,84,183,18.4,30,0.43,27.57152,39,845.0189
10010,tgb,349302.3,8120067,0,plant,21.6,0.92,29.9,12.1,1450,99,68,19.3,55,0.16,35.25767,24,814.3568
10109,tgb,334355.8,8217700,0,plant,23,0.82,29.6,15.9,3061,83,204,18.2,29,0.45,38.61618,60,1404.66
10110,tgb,332584.3,8215849,0,plant,23.7,0.8,30.2,16.6,3364,83,221,18,28,0.47,35.70183,61,909.8428
10111,tgb,330837.1,8212140,0,plant,24.5,0.78,30.9,17.2,3483,84,221,18,29,0.44,0,50,74.02027
10112,tgb,330893.9,8204771,0,plant,24.3,0.78,30.8,17,3311,84,212,18.1,30,0.43,6.066594,8,427.0269
10113,tgb,313326.8,8175113,0,plant,18.5,0.96,27,10,2261,82,161,18.5,26,0.5,16.48794,0,703.7457
10114,tgb,316912.8,8171458,0,plant,17.9,0.96,26.4,9.7,2602,79,198,18.3,19,0.64,0.5216929,100,995.6541
10115,tgb,325815.4,8171532,0,plant,22.6,0.88,30,13.9,1590,99,74,19.2,57,0.16,20.34278,49,713.1816
10116,tgb,327587.5,8171546,0,plant,22.6,0.87,30,13.9,1635,98,77,19.2,55,0.17,31.55061,39,958.0908
10117,tgb,327602.3,8169699,0,plant,22.1,0.89,29.7,13.3,1575,98,76,19.2,55,0.17,0,50,42.81355
10118,tgb,331181.8,8167879,0,plant,22.2,0.88,29.8,13.6,1629,97,80,19.2,54,0.18,12.26258,100,376.2964
10011,tgb,347656.7,8103456,0,plant,19.7,0.95,28.4,10.6,1583,90,90,19.1,40,0.28,20.81027,0,1037.734
10119,tgb,313406.9,8165894,0,plant,19.8,0.95,28.2,10.7,1639,91,93,19.1,44,0.25,49.81203,100,1305.169
10120,tgb,315188.4,8165910,0,plant,19.4,0.95,27.8,10.5,1829,88,113,18.9,37,0.33,10.02607,13,649.0793
10121,tgb,322296.1,8165970,0,plant,22.1,0.9,29.9,13,1361,102,58,19.4,62,0.13,0,0,44.98889
10122,tgb,331196.3,8166042,0,plant,22.4,0.88,29.9,13.7,1585,99,75,19.2,56,0.16,15.96831,14,321.8944
10123,tgb,340223.3,8147664,0,plant,22.1,0.9,30,12.9,1469,99,69,19.3,57,0.15,16.321,0,818.2078
10124,tgb,354485.4,8140387,0,plant,22.7,0.86,30.2,14.1,1950,93,107,18.9,46,0.23,5.481106,0,185.5074
10125,tgb,375907.7,8122090,0,plant,23.6,0.82,30.6,15.9,2429,89,142,18.5,39,0.31,4.566404,0,435.8991
10126,tgb,374151.3,8120232,0,plant,24.3,0.81,31.1,16.4,2291,92,120,18.6,44,0.26,0,50,0
10127,tgb,377697.4,8120253,0,plant,23.6,0.82,30.5,15.9,2498,88,149,18.4,37,0.33,25.38608,8,977.132
10128,tgb,358220,8114597,0,plant,19.8,0.92,28.1,11.3,2056,85,134,18.7,31,0.42,52.00192,67,1092.964
10012,tgb,349436.3,8101621,0,plant,20.4,0.94,29,11.2,1387,97,66,19.3,51,0.19,0,50,0
10129,tgb,354716.5,8107192,0,plant,20,0.93,28.5,11.2,1722,90,100,19,39,0.3,25.64723,10,856.473
10130,tgb,361887.1,8096175,0,plant,21.1,0.92,29.3,12.1,2143,82,144,18.6,32,0.4,18.23763,0,1340.166
10131,tgb,365477.7,8088829,0,plant,20.7,0.93,28.9,11.9,2546,75,191,18.3,23,0.56,7.503675,0,475.4955
10132,tgb,363725.2,8086970,0,plant,20.2,0.94,28.5,11.4,2502,74,194,18.3,21,0.59,13.7687,100,418.8162
10133,tgb,374364.8,8085190,0,plant,22.7,0.89,30.3,13.9,3333,77,255,17.9,19,0.64,46.55304,39,865.0671
10134,tgb,383238.7,8081558,0,plant,23.6,0.87,30.9,15.1,4133,75,327,17.6,11,0.79,1.78578,98,350.2656
10135,tgb,369085.8,8079624,0,plant,20.4,0.94,28.7,11.7,3160,69,262,17.9,13,0.75,3.744069,83,351.3403
10136,tgb,339017.3,8073876,0,plant,18.9,0.9899999,27.8,9.5,1778,76,136,18.8,26,0.5,21.99096,64,639.3035
10137,tgb,370884.9,8074103,0,plant,21.5,0.93,29.5,12.5,3291,70,259,17.9,15,0.71,14.78102,6,982.0168
10138,tgb,369133.3,8072255,0,plant,22.3,0.92,30.3,13.2,3185,75,253,18,18,0.66,64.76366,27,1157.177
10013,tgb,352989.4,8101646,0,plant,20.1,0.94,28.6,11.1,1569,92,86,19.1,43,0.26,0,50,136.8466
10139,tgb,362061.6,8070360,0,plant,20.7,0.95,29.2,11.5,2918,69,243,18.1,15,0.71,7.10808,87,376.9629
10140,tgb,363848.6,8068524,0,plant,20.5,0.95,28.9,11.4,3130,68,269,17.9,12,0.77,14.94297,5,673.2258
10141,tgb,376264.1,8063071,0,plant,23.1,0.91,30.8,14,3405,78,274,17.8,16,0.69,14.74085,27,395.9204
10142,tgb,385118.6,8063124,0,plant,23.2,0.9,30.7,14.4,3538,77,280,17.8,15,0.71,19.3618,41,339.7116
10143,tgb,367481.3,8053798,0,plant,21.7,0.95,29.9,12.3,3075,73,261,18,14,0.74,0,0,368.0122
10144,tgb,376526.8,8020659,0,plant,23.7,0.94,31.6,13.9,3422,75,288,17.8,15,0.71,0,50,2.645751
10145,tgb,403019.8,8018959,0,plant,23.5,0.92,30.9,14.6,3092,81,221,18.1,20,0.61,12.03913,53,121.7292
10146,tgb,403028.9,8017122,0,plant,23.6,0.92,31,14.6,3042,82,215,18.1,21,0.59,0,50,2.44949
10147,tgb,351866.6,8013108,0,plant,19.5,1.04,28.6,9.7,2028,73,170,18.6,20,0.61,30.76746,26,637.1876
10148,tgb,314411.5,8258121,0,plant,23.3,0.82,29.9,16,1956,97,85,19,54,0.17,0,0,182.5267
10014,tgb,358308.4,8101684,0,plant,19.9,0.93,28.3,11.2,1905,85,123,18.8,33,0.39,4.297236,45,108.037
10149,tgb,311161.4,8219362,0,plant,22.8,0.87,29.7,14.8,2224,91,120,18.7,44,0.25,5.759164,100,373.7473
10150,tgb,316881.3,8175143,0,plant,17.7,0.96,26.2,9.6,2715,78,211,18.2,17,0.68,49.58936,64,1141.687
10151,tgb,354459.9,8144082,0,plant,22.3,0.87,29.9,13.8,2011,91,114,18.8,43,0.26,14.01028,23,331.4891
10152,tgb,340279.1,8140284,0,plant,22.2,0.91,30.2,12.7,1291,104,54,19.5,64,0.12,20.17109,89,415.5154
10153,tgb,352963.1,8105342,0,plant,20.4,0.93,28.8,11.3,1536,95,80,19.2,46,0.23,16.22233,18,261.3063
10154,tgb,356634.1,8086922,0,plant,19.8,0.95,28.4,10.8,2018,78,147,18.6,28,0.48,0.1026225,100,130.3112
10155,tgb,358410.1,8086934,0,plant,20.2,0.94,28.7,11.1,2095,78,152,18.6,28,0.48,13.6126,57,335.5369
10156,tgb,365489.8,8086982,0,plant,20.8,0.93,29.1,11.9,2614,74,198,18.3,23,0.57,11.56052,0,605.8531
10157,tgb,372579.1,8087027,0,plant,23.4,0.88,30.9,14.6,3322,80,246,17.9,21,0.59,0.7461906,0,154.8967
10158,tgb,361961.6,8085110,0,plant,20.1,0.94,28.5,11.2,2453,73,192,18.3,21,0.6,11.38039,83,423.6107
10015,tgb,363627.3,8101720,0,plant,24,0.86,31.4,15,2208,94,115,18.7,44,0.26,0.4011056,0,355.5081
10159,tgb,351387.6,8077666,0,plant,19.9,0.97,28.7,10.5,1941,76,146,18.7,27,0.48,6.468284,9,134.9778
10160,tgb,358474,8077716,0,plant,19.9,0.96,28.5,10.8,2528,69,209,18.2,18,0.66,0.2916825,100,131.2364
10161,tgb,342564.1,8073903,0,plant,19.4,0.9899999,28.3,9.8,1862,75,144,18.7,26,0.5,6.761511,0,408.2144
10162,tgb,340805.1,8072053,0,plant,18.7,1,27.6,9.400001,1937,75,153,18.6,23,0.57,7.857018,72,220.4473
10163,tgb,402992.7,8024491,0,plant,23.5,0.91,30.9,14.7,3186,79,231,18,19,0.63,3.318582,81,126.6846
10164,tgb,330808.7,8215836,0,plant,22.9,0.83,29.6,15.6,2950,84,194,18.2,30,0.43,48.09396,71,1428.949
10165,tgb,329122.2,8202909,0,plant,24.5,0.78,30.9,17.1,3160,85,196,18.1,32,0.39,4.489895,0,105.9481
10166,tgb,374240.7,8105483,0,plant,23.6,0.85,30.8,15.3,2602,88,158,18.4,34,0.37,29.38712,81,911.293
10167,tgb,351227,8099797,0,plant,20.1,0.94,28.6,11,1504,92,81,19.2,45,0.24,22.57451,40,480.5934
10168,tgb,381358.2,8099992,0,plant,23.9,0.83,31,15.8,3158,84,211,18,26,0.5,4.727983,18,155.3802
10016,tgb,365393.2,8101731,0,plant,23.4,0.87,30.9,14.5,2376,90,140,18.5,38,0.33,7.118962,100,347.6435
10169,tgb,378026.8,8064930,0,plant,22.8,0.91,30.5,13.9,3483,77,281,17.8,14,0.72,48.38805,57,723.2047
10170,tgb,367530.1,8046417,0,plant,20.9,0.97,29.3,11.6,3050,70,267,18,11,0.79,18.31446,62,318.2138
10171,tgb,344584.3,8040719,0,plant,19.3,1.02,28.4,9.6,1915,76,146,18.7,23,0.56,21.14503,29,617.537
10172,tgb,314441.8,8254437,0,plant,21.1,0.87,28.3,13.8,2513,86,176,18.5,33,0.4,32.68427,48,999.0776
10173,tgb,363602.8,8105415,0,plant,23.8,0.86,31.2,14.9,2131,95,108,18.7,46,0.25,19.37783,32,634.2697
10174,tgb,347765.9,8088705,0,plant,20,0.96,28.8,10.6,1485,88,87,19.2,41,0.28,4.559252,90,183.6328
10175,tgb,340689.8,8086804,0,plant,19.8,0.98,28.8,10.1,1443,86,86,19.2,41,0.28,0.864593,100,120.7435
10176,tgb,340718.6,8083119,0,plant,19.9,0.98,28.9,10.1,1468,84,90,19.2,40,0.3,4.438931,52,182.8661
10177,tgb,349943,8033389,0,plant,20.9,1,29.8,10.9,2022,75,163,18.6,24,0.53,42.61719,0,1589.099
10178,tgb,314457,8252589,0,plant,22.1,0.86,29,14.7,2227,91,127,18.7,42,0.27,5.29611,0,314.595
10017,tgb,355542.8,7992850,0,plant,20.9,1.04,29.9,10.7,1349,87,97,19.4,40,0.31,2.36502,50,102.5963
10179,tgb,316235.7,8252603,0,plant,21.4,0.87,28.4,14.1,2478,87,167,18.5,34,0.38,29.67861,25,1106.53
10180,tgb,316616.8,8206493,0,plant,23.6,0.84,30.4,15.6,2635,87,153,18.4,38,0.32,3.152843,99,507.3441
10181,tgb,295250.2,8204466,0,plant,19,0.95,27.3,10.6,2042,86,138,18.7,33,0.39,21.86476,100,401.1783
10182,tgb,293510.1,8200753,0,plant,18.6,0.96,27,10.1,2125,84,148,18.6,30,0.44,3.779567,0,429.1072
10183,tgb,322068,8193635,0,plant,23.2,0.84,30.1,15.2,2350,89,133,18.6,41,0.29,10.79895,78,319.0313
10184,tgb,307955.4,8178751,0,plant,18.1,0.97,26.6,9.7,2371,81,174,18.4,24,0.55,11.62521,100,752.5337
10185,tgb,313342.8,8173264,0,plant,18.4,0.96,26.9,10,2278,82,163,18.5,26,0.51,14.86125,1,688.0327
10186,tgb,313358.8,8171427,0,plant,19.6,0.95,27.9,10.7,1788,89,109,18.9,39,0.3,32.78122,37,689.7072
10187,tgb,316928.5,8169610,0,plant,18.9,0.95,27.3,10.3,2082,84,140,18.7,30,0.43,17.81212,20,547.1316
10188,tgb,325830.4,8169684,0,plant,22.1,0.89,29.7,13.3,1528,98,72,19.3,56,0.16,0,50,37.16181
10018,tgb,438812.4,7871576,0,plant,20.1,1.12,29.1,10.3,1575,102,80,19.1,42,0.27,30.35409,100,1885.318
10189,tgb,316960,8165925,0,plant,18.8,0.96,27.2,10.1,2116,84,144,18.6,29,0.45,39.81178,68,1056.909
10190,tgb,316975.8,8164077,0,plant,19,0.96,27.5,10.2,1994,85,130,18.7,32,0.41,22.72706,63,492.2824
10191,tgb,352677.6,8145907,0,plant,22,0.88,29.7,13.5,2016,89,115,18.8,42,0.27,0,0,76.03289
10192,tgb,363469.7,8125697,0,plant,23.4,0.84,30.7,15,2069,94,110,18.8,46,0.24,10.30457,4,878.8481
10193,tgb,351160.6,8109014,0,plant,17.7,0.97,26.3,9.5,3239,72,270,17.9,6,0.89,30.77154,73,780.8079
10194,tgb,360124.4,8094327,0,plant,20.2,0.93,28.6,11.4,2009,82,136,18.7,31,0.42,14.49879,99,410.5642
10195,tgb,365538.4,8079601,0,plant,20,0.95,28.4,11.2,3000,68,253,18,13,0.75,8.21243,86,187.8616
10196,tgb,363786.7,8077753,0,plant,19.6,0.96,28.1,10.8,2934,69,251,18,12,0.77,8.819976,93,214.6509
10197,tgb,337298,8068329,0,plant,18.2,1.01,27.2,8.900001,2063,74,164,18.5,19,0.63,2.4945,98,377.0875
10198,tgb,353648.3,8011284,0,plant,19.6,1.04,28.7,9.900001,2023,73,171,18.6,20,0.61,16.12749,73,183.9783
10001,tgb,310880,8252559,0,plant,22.8,0.85,29.6,15.3,1970,95,90,18.9,52,0.18,1.502511,0,106.663
10019,tgb,323704.7,8212084,0,plant,21.6,0.88,28.7,13.8,2397,86,158,18.5,34,0.37,40.76083,100,1533.11
10199,tgb,282790.9,8202509,0,plant,18.2,0.97,26.8,9.7,2143,84,148,18.6,29,0.46,9.292216,0,201.4919
10200,tgb,316205.6,8256288,0,plant,23,0.83,29.7,15.7,2069,95,98,18.9,50,0.2,33.66124,28,348.9427
10201,tgb,312699.2,8248889,0,plant,22.7,0.85,29.5,15.1,2059,94,101,18.9,49,0.21,11.44207,60,484.0516
10202,tgb,332570.3,8217686,0,plant,21.2,0.87,28.3,13.9,2711,83,194,18.3,28,0.46,59.20057,64,2152.269
10203,tgb,313278.8,8180646,0,plant,18.1,0.96,26.5,9.900001,2512,80,189,18.3,21,0.6,0.9277698,26,173.5425
10204,tgb,315140.7,8171443,0,plant,18.2,0.96,26.7,9.8,2382,81,174,18.4,24,0.56,39.786,87,1152.627
10205,tgb,356416.1,8118269,0,plant,20.2,0.92,28.4,11.5,1904,88,116,18.8,36,0.34,19.61983,0,1081.911
10206,tgb,379538.8,8109199,0,plant,21.9,0.87,29.4,14,2916,79,206,18.1,25,0.53,45.43531,27,1161.824
10207,tgb,384982,8085253,0,plant,23,0.87,30.3,14.7,3941,76,310,17.7,12,0.78,23.47796,29,1008.11
10208,tgb,358499.8,8074021,0,plant,20.2,0.96,28.8,11,2713,68,228,18.1,16,0.69,9.014729,43,182.7485
10020,tgb,295215.7,8208152,0,plant,19.3,0.95,27.4,10.8,2010,86,135,18.7,34,0.37,15.73105,100,319.2241
10209,tgb,340950.5,8053605,0,plant,18.9,1.01,28,9.3,1690,79,122,18.9,27,0.49,7.690748,80,211.4143
10210,tgb,363960.7,8051926,0,plant,20.8,0.97,29.2,11.4,2982,70,259,18,12,0.77,6.441138,0,344.0596
10211,tgb,353607.1,8016817,0,plant,19.8,1.03,28.8,10,2137,72,184,18.5,18,0.64,0.866591,0,153.2612
10212,tgb,355419.9,8009449,0,plant,19.6,1.04,28.7,9.900001,2039,74,173,18.6,20,0.61,0,50,98.36666
10213,tgb,322158.8,8182569,0,plant,23.9,0.82,30.7,15.7,2162,94,107,18.7,48,0.22,23.22045,0,1516.979
10214,tgb,310512.9,8296821,0,plant,24.6,0.72,31.1,17.7,1740,102,61,19.2,62,0.12,8.240084,48,361.4914
10215,tgb,314366.1,8263654,0,plant,20.5,0.87,27.7,13.3,2851,82,231,18.2,26,0.53,3.609237,100,1123.966
10216,tgb,312622.6,8258107,0,plant,22.8,0.84,29.6,15.5,2000,95,94,18.9,51,0.19,14.27914,24,1028.566
10217,tgb,312853.8,8230443,0,plant,22.9,0.86,29.8,15.2,2201,92,113,18.7,46,0.23,13.15046,57,165.1151
10218,tgb,286362.1,8202533,0,plant,17.7,0.97,26.3,9.400001,2407,81,178,18.4,23,0.56,14.43257,13,493.4187
10021,tgb,315156.6,8169595,0,plant,19.8,0.95,28.1,10.9,1721,90,101,19,42,0.27,22.25697,0,946.1543
10219,tgb,349169.6,8138513,0,plant,22.3,0.89,30.2,13.3,1637,97,83,19.1,53,0.18,5.082345,50,158.4992
10220,tgb,347588.9,8112673,0,plant,19.8,0.94,28.4,10.8,1640,91,92,19,41,0.28,17.97668,16,531.3361
10221,tgb,349355.8,8112686,0,plant,19.2,0.95,27.7,10.4,2040,83,138,18.6,28,0.46,30.14697,64,803.6666
10222,tgb,351200.4,8103482,0,plant,20.4,0.93,28.9,11.3,1452,96,72,19.3,49,0.2,0,50,0
10223,tgb,358333.7,8097999,0,plant,20.2,0.93,28.6,11.3,1837,86,116,18.9,35,0.36,5.892605,15,161.4156
10224,tgb,354820.4,8092442,0,plant,19.9,0.95,28.5,10.9,1759,84,114,18.9,35,0.36,0,0,37.17526
10225,tgb,367228.3,8092526,0,plant,23.4,0.88,31,14.4,2782,84,187,18.2,29,0.45,12.17879,0,721.6544
10226,tgb,356608.3,8090606,0,plant,19.9,0.95,28.4,10.9,1921,81,133,18.7,30,0.43,12.26587,77,269.4142
10227,tgb,353081.7,8088744,0,plant,19.9,0.95,28.5,10.7,1729,83,114,18.9,34,0.37,6.983658,29,315.3997
10228,tgb,367288.1,8083309,0,plant,20.7,0.93,28.9,11.8,2868,72,227,18.1,18,0.66,13.97569,19,444.7617
10022,tgb,316944.3,8167762,0,plant,19.1,0.95,27.5,10.4,2013,85,133,18.7,32,0.41,76.17894,72,1443.124
10229,tgb,340761.8,8077586,0,plant,19.8,0.98,28.8,10,1642,79,116,19,33,0.39,4.49998,100,164.2072
10230,tgb,353161.3,8077679,0,plant,20.1,0.96,28.8,10.7,2080,74,160,18.6,25,0.52,12.91505,24,250.4676
10231,tgb,369097.7,8077788,0,plant,20.3,0.94,28.6,11.6,3263,68,275,17.9,11,0.79,26.12942,45,526.8406
10232,tgb,337268.4,8072025,0,plant,18.3,1.01,27.3,9,1990,75,155,18.6,21,0.6,21.05891,56,432.8972
10233,tgb,342578.3,8072066,0,plant,19,0.9899999,27.9,9.6,1933,74,153,18.6,24,0.55,20.37377,30,306.6676
10234,tgb,383291.6,8072341,0,plant,23.6,0.88,31,14.8,3814,76,301,17.7,14,0.73,0,50,0
10235,tgb,340863.1,8064672,0,plant,18.2,1.01,27.2,9,2244,72,187,18.4,16,0.7,7.78459,56,149.4925
10236,tgb,348042.8,8051812,0,plant,18.3,1.02,27.3,9.2,2412,72,197,18.3,13,0.74,15.46868,56,364.8411
10237,tgb,346384.8,8037048,0,plant,19.8,1.02,28.8,9.900001,2061,73,168,18.6,20,0.61,12.38594,85,249.982
10238,tgb,402974.5,8028187,0,plant,23.3,0.91,30.7,14.6,3257,78,238,18,18,0.65,13.5176,15,595.4175
10023,tgb,367003.6,8127568,0,plant,24.4,0.81,31.3,16.3,2138,95,106,18.7,49,0.22,0.6072375,99,23.64318
10239,tgb,401279.8,8015266,0,plant,23.6,0.92,31.1,14.6,3037,82,215,18.1,21,0.59,0,50,51.30302
10240,tgb,371694.7,7950545,0,plant,21.3,1.06,30.3,11.1,1265,95,76,19.5,48,0.22,20.19228,81,1136.327
10241,tgb,312379.9,8287618,0,plant,24.7,0.73,31.1,17.7,1730,103,62,19.2,62,0.12,5.125914,100,164.5934
10242,tgb,312637.9,8256259,0,plant,22.3,0.85,29.2,14.9,2116,93,112,18.8,46,0.23,25.26287,12,910.6075
10243,tgb,319829,8250784,0,plant,22.2,0.85,29,15,2366,89,139,18.6,40,0.3,63.35091,34,1964.176
10244,tgb,321622.1,8248962,0,plant,24.1,0.79,30.6,16.9,2008,99,83,18.9,56,0.16,2.998927,0,461.1442
10245,tgb,334314.3,8223232,0,plant,22,0.84,28.9,14.9,2840,83,195,18.2,29,0.45,47.05169,70,1385.438
10246,tgb,334328.1,8221396,0,plant,24,0.78,30.4,17,3338,84,212,18.1,30,0.44,15.83158,12,900.8951
10247,tgb,325740.8,8180750,0,plant,24.5,0.8,31.1,16.5,2266,95,111,18.7,48,0.22,0,50,0
10248,tgb,359838.8,8136738,0,plant,23.6,0.83,30.7,15.3,1978,95,102,18.9,49,0.21,33.57257,42,1041.929
10024,tgb,349369.2,8110849,0,plant,18.4,0.96,27,9.900001,2534,77,192,18.3,17,0.67,35.41086,45,1153.344
10249,tgb,359900.3,8127521,0,plant,24.2,0.83,31.3,15.7,1960,98,91,18.9,53,0.19,10.21744,0,667.5447
10250,tgb,361800.7,8109088,0,plant,22.9,0.88,30.6,13.9,2112,91,122,18.7,41,0.28,27.7828,0,1484.43
10251,tgb,367216.3,8094374,0,plant,23.3,0.88,30.9,14.4,2717,85,180,18.3,30,0.43,34.04913,60,797.1198
10252,tgb,368991.3,8094385,0,plant,23.3,0.88,30.9,14.5,2820,84,191,18.2,29,0.46,9.636184,100,401.5233
10253,tgb,370768.2,8092548,0,plant,23.2,0.88,30.8,14.4,2994,82,211,18.1,26,0.51,10.53393,14,483.7489
10254,tgb,370791.4,8088864,0,plant,23.3,0.88,30.9,14.4,3127,81,226,18,23,0.55,27.06425,36,684.5933
10255,tgb,393874.8,8079769,0,plant,23.6,0.86,30.7,15.5,3994,75,308,17.6,13,0.76,0,50,12.08305
10256,tgb,387058.1,8031787,0,plant,22.4,0.94,30.2,13.4,3370,76,276,17.9,12,0.77,45.80622,34,1251.197
10257,tgb,401233.7,8024483,0,plant,23.4,0.92,30.9,14.6,3241,78,238,18,18,0.65,5.556548,0,291.5133
10258,tgb,309023.4,8261762,0,plant,23.5,0.82,30.2,16.1,1791,100,69,19.1,59,0.14,0,50,84.14274
10025,tgb,358245.2,8110912,0,plant,22.2,0.9,30.2,13,1883,91,107,18.9,43,0.25,52.80714,20,1304.928
10259,tgb,309054.5,8258077,0,plant,23.2,0.83,29.9,15.7,1840,99,75,19.1,57,0.15,14.62517,82,291.4087
10260,tgb,317996,8256303,0,plant,22.9,0.83,29.6,15.7,2126,94,105,18.8,48,0.21,38.86462,46,481.9813
10261,tgb,332500.4,8226914,0,plant,24.2,0.78,30.5,17.1,3021,87,178,18.3,35,0.36,11.01064,54,557.8799
10262,tgb,334342,8219548,0,plant,24.4,0.77,30.7,17.3,3467,83,219,18,29,0.44,3.820066,81,181.4387
10263,tgb,327469.5,8186297,0,plant,24.5,0.79,31,16.8,2476,92,130,18.5,43,0.26,0,50,0
10264,tgb,313247,8184331,0,plant,17.8,0.96,26.3,9.8,2674,79,207,18.2,18,0.66,25.02978,60,559.5176
10265,tgb,327543.1,8177079,0,plant,24.5,0.8,31.1,16.5,2135,97,99,18.7,50,0.2,0,50,1.732051
10266,tgb,318727.5,8167777,0,plant,21.6,0.92,29.5,12.4,1343,100,59,19.4,61,0.13,23.53757,29,563.7712
10267,tgb,318743,8165940,0,plant,20.1,0.94,28.3,11.1,1661,91,94,19.1,44,0.25,19.58652,100,1235.396
10268,tgb,322342.1,8160437,0,plant,22.2,0.91,30.1,12.9,1260,105,49,19.6,67,0.11,0,50,21.56386
10026,tgb,383302.2,8070494,0,plant,23.5,0.88,31,14.8,3744,76,295,17.7,15,0.72,0,0,147.6144
