siteid,spid,x,y,occ,group,sabio1,sabio2,sabio4,sabio5,sabio6,sabio7,sabio8,sabio12,sabio15,sabio17,sabio18
100012,tgb,-79.8,-0.616,0,plant,242,94,636,303,185,118,248,2253,83,75,1143
100142,tgb,-75.316,10.55,0,plant,274,86,423,322,218,104,274,1065,79,10,283
100145,tgb,-75.25,-3.75,0,plant,258,100,518,314,193,121,257,2414,17,419,597
100148,tgb,-75.216,-10.2,0,plant,257,132,525,328,171,157,260,2601,42,238,773
100159,tgb,-75.016,-8.75,0,plant,259,117,451,330,186,144,262,2999,33,345,878
100163,tgb,-74.95,-10.2,0,plant,257,124,411,327,177,150,258,2839,40,284,637
100176,tgb,-74.75,6,0,plant,267,97,358,321,215,106,263,3442,35,487,997
100197,tgb,-73.9,-8.3,0,plant,254,104,606,319,183,136,254,1923,36,189,530
100205,tgb,-73.583,-4.483,0,plant,264,99,390,323,206,117,265,2811,20,446,660
100206,tgb,-73.583,-3.916,0,plant,264,99,420,322,206,116,262,3016,15,543,709
100216,tgb,-73.416,-3.8,0,plant,265,99,424,322,207,115,263,3080,14,566,728
100231,tgb,-72.966,-3.5,0,plant,264,98,432,319,204,115,262,3138,16,559,713
100144,tgb,-75.25,-10.966,0,plant,240,120,614,309,158,151,241,1994,41,187,399
100269,tgb,-71,-11.75,0,plant,239,103,501,304,170,134,239,3377,35,372,735
100279,tgb,-70.483,-3.95,0,plant,259,93,359,311,202,109,260,3168,22,509,682
100295,tgb,-69.283,-12.25,0,plant,253,112,1062,326,168,158,260,2652,47,203,746
100301,tgb,-69.066,-12.583,0,plant,256,114,1046,330,173,157,263,2515,50,180,704
100308,tgb,-68.8,-10.85,0,plant,251,105,983,322,166,156,257,1926,53,81,437
100329,tgb,-67.833,-15.45,0,plant,223,108,1279,290,137,153,232,1724,50,129,599
100330,tgb,-67.783,-16.116,0,plant,211,126,1302,289,114,175,221,1269,57,70,463
100350,tgb,-67.25,-16.816,0,plant,169,150,1586,260,51,209,181,1088,65,46,401
100351,tgb,-67.25,-13.083,0,plant,259,118,1080,336,172,164,266,1781,56,128,469
100352,tgb,-67.25,0.033,0,plant,264,88,409,316,214,102,260,3198,17,554,632
100147,tgb,-75.233,8.033,0,plant,278,100,395,343,224,119,275,2627,62,122,277
100379,tgb,-66.066,-11,0,plant,266,113,747,343,180,163,268,1914,58,68,377
100380,tgb,-66.033,-11.75,0,plant,265,117,824,346,180,166,268,1721,61,73,338
100383,tgb,-65.966,-10.966,0,plant,266,113,708,342,182,160,267,1900,59,64,373
100398,tgb,-65.266,-15.816,0,plant,254,102,1781,322,155,167,268,3607,47,322,1175
100406,tgb,-64.85,-7.3,0,plant,264,102,331,329,196,133,263,2602,46,154,525
100421,tgb,-64.366,4.05,0,plant,230,105,273,292,171,121,227,2906,42,347,531
100470,tgb,-63.183,-17.083,0,plant,246,105,2178,320,152,168,265,1464,48,151,519
100477,tgb,-63.066,-17.783,0,plant,244,110,2191,323,153,170,264,1297,47,144,493
100483,tgb,-62.917,-0.417,0,plant,269,99,308,324,214,110,265,2358,36,325,325
100497,tgb,-61.846,-16.52,0,plant,235,138,1753,324,126,198,248,1250,53,85,364
100149,tgb,-75.216,-10.166,0,plant,256,133,517,327,170,157,259,2583,41,238,772
100500,tgb,-61.833,3.583,0,plant,265,112,470,330,203,127,259,2001,58,221,301
100513,tgb,-61.466,2.016,0,plant,272,101,590,333,210,123,263,1785,68,148,186
100514,tgb,-61.433,3.4,0,plant,269,109,523,333,208,125,263,1706,71,130,219
100531,tgb,-61.146,-14.389,0,plant,240,141,1149,330,132,198,247,2197,69,47,443
100534,tgb,-61.128,-15.01,0,plant,244,145,1426,338,129,209,253,1747,66,50,345
100546,tgb,-61.016,-13.533,0,plant,236,136,758,322,136,186,239,2655,70,47,550
100561,tgb,-60.867,2.417,0,plant,273,100,650,334,212,122,264,1670,77,100,143
100569,tgb,-60.796,-14.554,0,plant,238,143,1204,328,126,202,244,2057,67,52,407
100604,tgb,-58.05,-7.333,0,plant,264,110,410,347,174,173,262,2733,55,104,514
100607,tgb,-57.867,-21.7,0,plant,256,111,2933,344,150,194,283,1441,38,140,458
100150,tgb,-75.183,9.866,0,plant,249,106,467,318,179,139,247,1480,54,95,332
100614,tgb,-57.64,-19,0,plant,259,109,2279,335,168,167,279,1246,53,84,455
100641,tgb,-55.867,-16.233,0,plant,265,120,1543,357,158,199,275,1589,62,34,333
100645,tgb,-55.75,-20.45,0,plant,243,122,2271,323,138,185,264,1668,48,123,613
100662,tgb,-54.833,-14.833,0,plant,230,128,1315,309,130,179,241,1998,64,34,791
100674,tgb,-54.25,-28.283,0,plant,207,112,3626,312,98,214,170,1977,10,415,428
100686,tgb,-53.75,-27.166,0,plant,207,126,3415,314,93,221,213,1925,9,403,451
100707,tgb,-52.75,-27.1,0,plant,195,112,3089,293,96,197,205,2205,8,479,515
100712,tgb,-52.517,-23.7,0,plant,210,121,2709,298,105,193,237,1554,25,243,455
100719,tgb,-52.383,-25.383,0,plant,176,123,3067,270,65,205,208,1972,20,375,523
100721,tgb,-52.333,-31.75,0,plant,187,101,3887,292,80,212,156,1473,16,264,357
100152,tgb,-75.166,-7.083,0,plant,267,130,589,344,185,159,266,1919,27,251,498
100733,tgb,-52,-12,0,plant,260,133,881,345,159,186,265,1965,67,13,657
100736,tgb,-51.917,-2.65,0,plant,266,94,467,326,213,113,262,2385,55,137,171
100737,tgb,-51.916,3.716,0,plant,255,92,463,325,198,127,254,3586,50,206,206
100753,tgb,-51.6,-1.417,0,plant,268,95,489,330,217,113,265,2671,41,261,272
100770,tgb,-51.116,-7.783,0,plant,251,133,309,340,162,178,251,2160,56,55,508
100784,tgb,-50.783,-3.366,0,plant,265,97,407,327,208,119,262,2503,63,119,171
100786,tgb,-50.75,-29.467,0,plant,195,98,3207,289,101,188,174,2046,8,436,487
100789,tgb,-50.733,-2.666,0,plant,267,102,360,329,210,119,264,2790,59,173,209
100797,tgb,-50.5,-29.383,0,plant,156,92,3082,242,65,177,133,2155,8,463,518
100799,tgb,-50.5,-0.25,0,plant,269,79,554,324,227,97,264,3605,53,193,193
100153,tgb,-75.133,6.033,0,plant,229,98,361,284,175,109,225,3338,31,473,926
100808,tgb,-50.15,-25.083,0,plant,179,116,2821,270,76,194,210,1643,24,269,474
100809,tgb,-50.116,-15.9,0,plant,243,100,976,313,166,147,246,2026,74,16,194
100828,tgb,-49.733,-24.25,0,plant,180,128,3131,269,36,233,211,1506,35,201,464
100836,tgb,-49.583,-27.167,0,plant,194,101,3208,289,98,191,229,1688,20,285,472
100844,tgb,-49.417,-25.417,0,plant,170,107,2909,256,68,188,201,1596,28,259,489
100853,tgb,-49.3,-16.717,0,plant,232,114,1457,304,132,172,238,1615,67,24,199
100858,tgb,-49.167,-5.383,0,plant,270,97,342,332,214,118,266,2224,68,64,83
100873,tgb,-48.65,-26.833,0,plant,206,90,2938,288,111,177,239,1824,29,257,598
100901,tgb,-47.917,-1.267,0,plant,265,93,334,323,215,108,261,2740,53,200,200
100910,tgb,-47.783,-1.667,0,plant,266,101,254,327,210,117,263,2593,50,219,260
100154,tgb,-75.083,-10.533,0,plant,232,121,470,301,153,148,233,2744,42,264,570
100926,tgb,-47.45,-14.15,0,plant,204,89,757,270,138,132,204,1923,71,16,231
100927,tgb,-47.45,-1.617,0,plant,264,101,316,328,207,121,260,2558,53,174,196
100932,tgb,-47.4,-15.55,0,plant,221,110,1059,293,133,160,225,1715,71,15,181
100935,tgb,-47.3,-1.2,0,plant,262,97,420,327,208,119,257,2732,61,105,138
100959,tgb,-46.483,-23.65,0,plant,180,88,2293,250,96,154,204,2083,45,184,737
100972,tgb,-46.15,-1.16,0,plant,264,85,534,321,211,110,257,2576,72,28,28
100984,tgb,-45.867,-23.117,0,plant,195,105,2335,267,93,174,219,1594,60,99,622
101011,tgb,-44.666,-5.116,0,plant,269,105,842,341,197,144,264,1614,77,46,64
101022,tgb,-44.267,-2.567,0,plant,271,77,418,320,228,92,268,2000,73,30,49
101023,tgb,-44.25,-19.483,0,plant,218,125,1703,294,108,186,230,1561,77,25,555
100156,tgb,-75.083,-10.416,0,plant,223,123,452,291,143,148,224,2853,42,275,604
101041,tgb,-43.566,-18.266,0,plant,198,106,1872,284,110,174,211,1625,75,26,553
101047,tgb,-43.466,-22.966,0,plant,215,86,2060,286,139,147,240,1497,36,157,483
101059,tgb,-43.233,-22.967,0,plant,232,77,2068,299,161,138,257,1375,32,158,432
101068,tgb,-43.15,-11.083,0,plant,257,133,746,332,168,164,261,753,77,1,320
101072,tgb,-42.983,-22.45,0,plant,185,99,2285,264,94,170,209,1922,54,132,684
101089,tgb,-42.5,-21.416,0,plant,231,124,2271,322,124,198,248,1478,66,55,518
101090,tgb,-42.45,-14.316,0,plant,222,108,1280,293,139,154,230,918,80,6,390
101092,tgb,-42.383,-22.65,0,plant,232,85,2000,302,155,147,246,1273,44,108,405
101148,tgb,-40.45,-20.55,0,plant,248,77,1791,315,183,132,260,1173,39,154,266
101153,tgb,-40.35,-17.817,0,plant,243,99,1527,312,168,144,253,1100,42,130,289
100162,tgb,-75,-4.666,0,plant,265,100,382,324,206,118,264,2283,20,359,563
101160,tgb,-40.1,-13.85,0,plant,232,73,1356,286,173,113,241,841,30,120,226
101163,tgb,-40,-7.33,0,plant,225,102,1074,296,155,141,224,895,80,23,108
101164,tgb,-39.96,-13.95,0,plant,215,70,1290,268,160,108,224,1012,24,163,257
101170,tgb,-39.7,-12.716,0,plant,232,75,1461,290,174,116,243,674,39,77,209
101172,tgb,-39.6,-16.6,0,plant,248,89,1466,310,179,131,257,1303,21,216,332
101174,tgb,-39.5,-7.45,0,plant,223,102,1119,293,150,143,222,1041,76,32,134
101181,tgb,-39.35,-16,0,plant,237,76,1265,290,174,116,242,1322,18,260,286
101189,tgb,-39.1,-15.4,0,plant,241,71,1119,291,182,109,248,1661,10,326,401
101195,tgb,-39,-14.2,0,plant,248,61,925,294,200,94,249,2413,17,433,557
100014,tgb,-79.7,-1.266,0,plant,252,93,708,308,193,115,257,2222,91,21,1161
100013,tgb,-79.733,0.35,0,plant,227,70,619,275,185,90,233,2225,64,136,952
100165,tgb,-74.883,-9.566,0,plant,257,120,377,326,182,144,259,2141,37,230,592
100039,tgb,-77.416,-1.566,0,plant,229,94,410,284,175,109,227,5254,15,1029,1274
100040,tgb,-77.416,4.166,0,plant,254,61,312,294,220,74,251,8828,27,1242,1759
100088,tgb,-76.25,4.416,0,plant,168,96,206,221,117,104,166,1589,30,271,289
100118,tgb,-75.833,-3.25,0,plant,254,97,484,309,193,116,253,2399,10,495,516
100161,tgb,-75,-8.666,0,plant,260,117,472,332,187,145,264,2871,32,335,701
100164,tgb,-74.933,-9.616,0,plant,260,122,395,329,183,146,262,2175,37,232,595
100200,tgb,-73.75,-4.833,0,plant,269,102,397,330,208,122,270,2819,18,454,684
100210,tgb,-73.5,-3.833,0,plant,265,99,425,323,207,116,263,3063,14,561,723
100229,tgb,-73.016,-3.233,0,plant,262,99,429,317,201,116,261,3249,15,596,730
100236,tgb,-72.833,-3.466,0,plant,263,97,439,317,203,114,262,3124,17,546,698
100166,tgb,-74.866,3.25,0,plant,188,94,281,243,133,110,186,1593,41,215,361
100244,tgb,-72.683,2.333,0,plant,277,94,1063,348,215,133,270,2477,53,191,191
100253,tgb,-72.166,-0.566,0,plant,270,86,680,330,214,116,263,3018,30,438,512
100307,tgb,-68.917,-3.567,0,plant,255,92,313,309,203,106,256,2940,22,435,578
100309,tgb,-68.75,-12.666,0,plant,257,114,1095,331,174,157,264,2219,51,151,624
100344,tgb,-67.4,-8.75,0,plant,257,114,590,322,180,142,261,2283,51,113,483
100369,tgb,-66.333,-14.65,0,plant,252,109,1586,325,157,168,262,1980,51,157,492
100377,tgb,-66.083,-11,0,plant,267,113,766,343,180,163,269,1918,58,69,378
100388,tgb,-65.9,-2.64,0,plant,259,95,348,313,204,109,257,3197,21,508,586
100395,tgb,-65.333,-10.85,0,plant,266,108,716,345,187,158,263,1822,59,51,358
100399,tgb,-65.25,-10.733,0,plant,264,107,718,342,186,156,261,1840,58,52,366
100167,tgb,-74.866,7.5,0,plant,282,103,426,342,224,118,278,4157,44,351,574
100488,tgb,-62.75,-14.75,0,plant,252,125,1407,333,153,180,262,1475,64,64,463
100509,tgb,-61.5,3.466,0,plant,261,109,514,324,199,125,254,1754,69,143,227
100511,tgb,-61.467,-3.7,0,plant,269,85,430,324,223,101,264,2563,33,306,360
100605,tgb,-57.95,-2.5,0,plant,273,83,513,331,227,104,268,2346,45,227,227
100631,tgb,-56.417,-22.067,0,plant,240,117,2732,326,130,196,264,1503,31,175,421
100633,tgb,-56.416,-19.95,0,plant,250,111,2369,330,151,179,272,1558,53,108,594
100637,tgb,-56.083,-15.533,0,plant,256,113,1389,331,154,177,267,1513,57,50,568
100650,tgb,-55.583,-1.917,0,plant,270,94,599,335,217,118,265,2232,54,145,145
100651,tgb,-55.517,-23.267,0,plant,218,122,2782,306,104,202,234,1687,29,207,499
100667,tgb,-54.583,-20.4,0,plant,228,111,1534,299,140,159,239,1691,49,116,495
100168,tgb,-74.833,-3.3,0,plant,256,102,460,315,193,122,256,2984,8,629,704
100670,tgb,-54.5,-0.916,0,plant,262,91,772,327,214,113,255,1821,49,135,196
100728,tgb,-52.233,-1.75,0,plant,270,93,531,331,221,110,267,2507,50,191,208
100732,tgb,-52,-13.5,0,plant,250,133,1017,333,147,186,255,1840,69,12,401
100757,tgb,-51.483,-29.65,0,plant,204,97,3400,302,110,192,237,1655,9,343,405
100764,tgb,-51.217,-23.3,0,plant,209,122,2555,293,103,190,234,1614,37,181,547
100765,tgb,-51.183,-29.75,0,plant,204,98,3420,301,108,193,170,1700,8,366,403
100771,tgb,-51.1,-13.083,0,plant,269,119,827,345,181,164,273,1901,70,16,405
100802,tgb,-50.333,-27.8,0,plant,167,106,3186,265,67,198,147,1667,13,324,419
100832,tgb,-49.617,-27.25,0,plant,181,101,3211,276,85,191,216,1704,20,289,476
100850,tgb,-49.35,-28.417,0,plant,195,109,3057,290,92,198,230,1618,24,262,490
100170,tgb,-74.8,-8.5,0,plant,261,114,525,331,188,143,263,2183,31,254,622
100866,tgb,-48.767,-15.917,0,plant,217,95,790,279,145,134,219,1763,68,24,214
100905,tgb,-47.883,-24.783,0,plant,221,91,2914,304,127,177,254,2107,39,247,764
100923,tgb,-47.5,-14.767,0,plant,216,92,848,283,146,137,217,1826,71,16,214
100987,tgb,-45.7,-1.383,0,plant,266,77,580,318,214,104,261,2561,72,37,37
101003,tgb,-44.983,-21.25,0,plant,202,123,2050,281,96,185,221,1714,69,50,629
101012,tgb,-44.633,-22.466,0,plant,189,121,2255,269,76,193,211,1869,65,79,747
101019,tgb,-44.4,-19.283,0,plant,219,129,1720,296,107,189,231,1493,76,24,531
101064,tgb,-43.2,-22.983,0,plant,232,76,2070,298,162,136,257,1342,31,157,419
101109,tgb,-41.8,-22.35,0,plant,232,85,1949,300,153,147,244,1266,40,119,359
101147,tgb,-40.467,-3.467,0,plant,271,118,799,348,201,147,262,1195,99,6,32
100171,tgb,-74.8,4.416,0,plant,261,105,381,324,204,120,256,1566,42,193,431
101173,tgb,-39.533,-7.266,0,plant,222,103,1070,294,152,142,220,1147,78,28,140
101203,tgb,-38.583,-3.75,0,plant,261,69,550,301,214,87,259,1452,83,35,149
101214,tgb,-35.7,-6.967,0,plant,223,90,1271,288,162,126,218,941,56,56,230
100151,tgb,-75.166,-8.666,0,plant,255,119,436,328,183,145,258,3537,32,415,834
100196,tgb,-73.916,-8.033,0,plant,254,104,611,319,183,136,254,2082,35,209,568
100208,tgb,-73.5,-4.166,0,plant,263,97,425,321,206,115,262,2892,18,484,672
100227,tgb,-73.033,-3.5,0,plant,264,99,432,319,204,115,262,3154,15,569,722
100228,tgb,-73.016,-3.5,0,plant,265,99,432,320,205,115,263,3150,15,566,719
100232,tgb,-72.916,-3.333,0,plant,263,98,421,318,202,116,262,3183,16,569,711
100252,tgb,-72.166,-0.6,0,plant,268,86,670,328,213,115,262,3019,30,442,515
100174,tgb,-74.75,-11,0,plant,244,116,539,315,166,149,243,2186,40,227,456
100289,tgb,-69.333,-12.833,0,plant,255,111,1004,325,178,147,262,3280,47,281,890
100292,tgb,-69.3,-12.816,0,plant,256,111,1031,327,177,150,262,3173,47,266,864
100294,tgb,-69.283,-12.816,0,plant,256,112,1016,326,177,149,262,3128,48,260,853
100298,tgb,-69.166,-12.583,0,plant,256,114,1039,328,174,154,262,2677,49,200,745
100445,tgb,-63.6,-17.583,0,plant,243,105,2188,316,149,167,263,1567,46,166,585
100556,tgb,-60.93,-14.557,0,plant,241,143,1213,331,129,202,248,2067,68,50,412
100579,tgb,-60.55,1.2,0,plant,273,97,560,332,214,118,264,1965,65,161,238
100599,tgb,-59.35,-10.2,0,plant,236,124,560,326,135,191,236,2230,65,37,227
100611,tgb,-57.683,-16.067,0,plant,265,126,1859,349,156,193,274,1531,64,55,290
100613,tgb,-57.65,-19.016,0,plant,256,109,2264,332,165,167,275,1246,53,84,455
100175,tgb,-74.75,-8.833,0,plant,255,113,463,324,184,140,259,2233,34,245,680
100669,tgb,-54.517,-25.55,0,plant,215,130,3573,321,91,230,233,1880,17,331,477
100766,tgb,-51.167,-30.05,0,plant,195,95,3579,294,99,195,159,1553,9,324,353
100852,tgb,-49.333,-0.416,0,plant,273,73,612,323,231,92,267,3318,63,78,78
100924,tgb,-47.5,-3,0,plant,265,107,201,327,204,123,263,2095,71,99,157
101070,tgb,-43.1,-22.5,0,plant,150,92,2201,225,65,160,173,2080,50,161,730
101083,tgb,-42.666,-22.75,0,plant,228,84,2092,298,149,149,250,1315,42,121,426
101102,tgb,-42.05,-22.85,0,plant,230,66,1753,287,170,117,240,976,29,121,247
101105,tgb,-42.016,-20.716,0,plant,207,129,2074,296,98,198,223,1456,63,64,485
100072,tgb,-76.65,-7.95,0,plant,250,153,507,335,155,180,252,2578,25,350,723
100303,tgb,-69.05,-12.483,0,plant,256,114,1076,329,171,158,263,2440,49,172,687
100177,tgb,-74.75,6.083,0,plant,261,96,361,315,208,107,257,3404,37,462,986
100319,tgb,-68.2,-13.866,0,plant,229,103,1228,297,153,144,236,2095,49,184,550
100332,tgb,-67.75,-16.216,0,plant,224,130,1322,304,124,180,234,1204,58,61,441
100354,tgb,-67.185,-10,0,plant,261,106,704,327,182,145,265,2594,49,163,356
100545,tgb,-61.016,-13.55,0,plant,236,136,778,322,135,187,239,2661,70,47,550
100595,tgb,-59.71,-2.71,0,plant,273,84,479,329,226,103,269,2264,31,252,371
100626,tgb,-56.833,-16.716,0,plant,267,119,1797,356,166,190,278,1401,62,49,279
100643,tgb,-55.833,-1.75,0,plant,270,92,639,334,220,114,264,2518,51,196,196
100968,tgb,-46.25,-21.416,0,plant,193,124,2147,268,82,186,212,1823,65,72,666
100974,tgb,-46.083,-22.866,0,plant,153,111,2210,224,47,177,175,1810,59,117,685
101056,tgb,-43.267,-21.583,0,plant,221,113,2202,302,123,179,242,1772,69,57,667
100178,tgb,-74.666,-8.3,0,plant,264,113,594,333,190,143,264,1950,31,223,546
101075,tgb,-42.883,-20.75,0,plant,207,119,2211,293,103,190,224,1443,67,55,483
101101,tgb,-42.1,-19.833,0,plant,199,122,2019,278,91,187,213,1443,68,56,485
100042,tgb,-77.333,-4.333,0,plant,266,87,375,324,215,109,266,3050,10,606,723
100194,tgb,-73.933,2.25,0,plant,262,100,692,326,200,126,254,2611,45,230,302
100270,tgb,-70.883,-5.25,0,plant,259,101,363,317,197,120,260,2512,22,367,628
100347,tgb,-67.333,-15.5,0,plant,209,104,1272,278,124,154,218,2133,46,188,721
100456,tgb,-63.433,-8.766,0,plant,259,102,564,328,186,142,257,2545,56,93,482
100489,tgb,-62.533,-7.583,0,plant,262,103,518,336,190,146,258,2603,49,142,309
100664,tgb,-54.683,-2.433,0,plant,261,88,543,321,208,113,257,2241,61,119,136
100665,tgb,-54.683,-2.4,0,plant,261,88,548,321,208,113,257,2227,60,120,138
100016,tgb,-79.216,-4.25,0,plant,190,125,365,267,122,145,190,1231,43,121,261
100179,tgb,-74.666,-8.25,0,plant,264,113,588,333,191,142,264,1949,31,225,543
100703,tgb,-52.883,-5.35,0,plant,247,108,391,312,182,130,243,2029,59,101,198
100880,tgb,-48.416,-22.75,0,plant,213,122,2363,296,107,189,237,1509,58,107,579
101185,tgb,-39.3,-14.73,0,plant,242,66,1019,291,186,105,250,1583,16,283,400
100215,tgb,-73.416,-3.833,0,plant,265,98,429,322,207,115,263,3058,14,557,722
100246,tgb,-72.666,-12.783,0,plant,235,149,615,325,141,184,233,1631,51,109,249
100265,tgb,-71.366,-11.866,0,plant,250,108,467,319,182,137,249,3028,34,341,529
100268,tgb,-71.166,-11.75,0,plant,244,105,467,310,175,135,244,3203,35,353,702
100878,tgb,-48.483,-1.45,0,plant,268,94,272,323,218,105,266,2724,47,258,258
100304,tgb,-69.05,-12.083,0,plant,250,113,1123,325,162,163,257,2230,49,149,642
100738,tgb,-51.9,-1.15,0,plant,270,91,560,332,220,112,267,2710,43,241,270
100180,tgb,-74.65,5.883,0,plant,279,97,397,335,226,109,274,3346,35,492,980
100963,tgb,-46.383,-21.933,0,plant,190,123,2191,266,78,188,210,1883,63,85,695
100980,tgb,-45.95,-4.083,0,plant,269,101,484,334,210,124,266,1888,69,81,116
101055,tgb,-43.283,-22.883,0,plant,234,82,2122,305,159,146,260,1529,36,162,498
101143,tgb,-40.55,-19.85,0,plant,204,94,1702,276,127,149,216,1341,51,125,361
101162,tgb,-40.066,-19.366,0,plant,244,91,1717,314,169,145,256,1353,46,139,359
100302,tgb,-69.05,-12.583,0,plant,256,114,1046,330,174,156,263,2492,50,177,699
100843,tgb,-49.466,-18.966,0,plant,241,128,1458,321,139,182,250,1594,70,26,333
100896,tgb,-47.983,-15.666,0,plant,213,104,936,279,133,146,216,1788,68,25,208
